Evacuation Name,EVACUEES
宮城県仙台市若林区六丁の目中町,2271
宮城県仙台市若林区六丁の目西町,591
宮城県仙台市若林区六丁の目東町,84
宮城県仙台市若林区六丁の目南町,1352
宮城県仙台市若林区若林一丁目,2038
宮城県仙台市若林区若林二丁目,1070
宮城県仙台市若林区若林三丁目,2106
宮城県仙台市若林区若林四丁目,881
宮城県仙台市若林区若林五丁目,1568
宮城県仙台市若林区若林六丁目,636
宮城県仙台市若林区若林七丁目,730
宮城県仙台市若林区かすみ町,1718
宮城県仙台市若林区六丁の目元町,258
宮城県仙台市若林区今泉一丁目,1733
宮城県仙台市若林区今泉二丁目,1600
宮城県仙台市若林区上飯田一丁目,1805
宮城県仙台市若林区上飯田二丁目,2754
宮城県仙台市若林区上飯田三丁目,2508
宮城県仙台市若林区上飯田四丁目,1338
宮城県仙台市若林区六郷,857
宮城県仙台市若林区荒井一丁目,1333
宮城県仙台市若林区荒井二丁目,1141
宮城県仙台市若林区荒井三丁目,1341
宮城県仙台市若林区荒井四丁目,1743
宮城県仙台市若林区荒井五丁目,788
宮城県仙台市若林区荒井六丁目,510
宮城県仙台市若林区荒井七丁目,2238
宮城県仙台市若林区荒井八丁目,378
宮城県仙台市若林区蒲町東,1489
宮城県仙台市若林区荒井東一丁目,322
宮城県仙台市若林区荒井東二丁目,1063
宮城県仙台市若林区伊在一丁目,681
宮城県仙台市若林区伊在二丁目,927
宮城県仙台市若林区伊在三丁目,551
宮城県仙台市若林区なないろの里一丁目,1219
宮城県仙台市若林区なないろの里二丁目,1419
宮城県仙台市若林区なないろの里三丁目,523
宮城県仙台市若林区荒井南,1527
宮城県仙台市太白区青山一丁目,1034
宮城県仙台市太白区青山二丁目,1542
宮城県仙台市太白区秋保町境野,274
